,Day,State id,Max Price
0,6,11,1852
1,5,11,1735
2,4,11,1880
3,7,11,1758
4,6,11,1799
5,7,11,2403
6,4,11,1794
7,5,11,2360
8,2,11,2297
9,7,16,2002
10,5,19,1855
11,6,11,2387
12,6,11,1788
13,7,11,2128
14,5,11,1800
15,5,16,1999
16,4,11,2364
17,7,11,2304
18,6,16,2071
19,4,11,3445
20,6,11,2146
21,6,11,2080
22,4,19,1833
23,7,11,1926
24,6,11,2065
25,3,11,2331
26,3,11,1800
27,4,11,2080
28,6,11,1760
29,6,11,2258
30,6,11,1800
31,4,11,2092
32,3,11,1830
33,5,11,2086
34,4,16,1985
35,5,11,2030
36,5,11,2311
37,5,11,1675
38,7,11,1725
39,3,11,2271
40,6,11,1759
41,7,19,1820
42,5,11,1831
43,3,11,2258
44,4,11,2216
45,2,19,1835
46,6,11,3000
47,6,11,2102
48,4,11,2118
49,3,19,1835
50,3,11,2256
51,4,11,1811
52,5,11,1980
53,3,11,1660
54,5,11,2800
55,6,11,1987
56,7,11,1900
57,6,11,2320
58,3,11,1971
59,5,11,1841
60,7,16,1961
61,2,11,2208
62,7,11,2098
63,3,16,1955
64,7,11,1760
65,5,11,2056
66,4,11,3180
67,6,16,2115
68,5,11,3088
69,6,16,2004
70,2,11,1966
71,5,11,1825
72,5,11,2161
73,2,16,1969
74,7,11,2485
75,5,11,1876
76,6,11,2000
77,6,11,2554
78,4,11,1720
79,5,16,2250
80,6,11,1920
81,4,11,1757
82,6,12,2026
83,6,11,1860
84,5,11,2261
85,4,11,1697
86,4,12,1960
87,6,11,2215
88,2,11,2175
89,3,12,1948
90,2,11,1870
91,6,11,1738
92,6,11,1917
93,5,19,1830
94,6,11,1877
95,2,11,2111
96,2,11,1700
97,6,11,1790
98,7,11,1811
99,4,11,1775
100,5,11,2700
101,4,11,1761
102,6,11,1891
103,6,11,2068
104,6,19,1810
105,6,19,1856
106,4,11,1728
107,5,16,2021
108,2,11,1811
109,5,11,2001
110,4,11,1800
111,2,16,1900
112,6,16,2111
113,3,11,2111
114,4,11,2895
115,2,11,1978
116,1,11,1685
117,7,12,2038
118,6,19,1800
119,7,16,1935
120,3,11,1900
121,3,19,1750
122,6,19,1730
123,4,16,2176
124,4,16,1855
125,3,11,2025
126,4,16,1990
127,6,16,1890
128,3,11,1700
129,5,11,1735
130,5,12,1589
131,5,11,1697
132,6,16,2016
133,4,16,2100
134,5,11,2060
135,6,12,1870
136,6,16,1970
137,4,11,2148
138,7,16,1845
139,6,16,1700
140,4,11,1847
141,3,16,1925
142,5,12,11700
143,7,12,1950
144,7,16,2072
145,3,11,1876
146,6,11,2940
147,6,11,1828
148,7,19,1900
149,3,16,2090
150,5,4,2010
151,7,19,1825
152,7,11,1811
153,5,11,1746
154,3,16,2060
155,4,11,2037
156,3,11,2040
157,4,11,1786
158,4,11,2230
159,6,11,1999
160,3,16,2146
161,5,16,1900
162,4,16,1780
163,7,16,1700
164,6,11,1875
165,6,16,1784
166,7,19,1800
167,2,11,1960
168,2,12,1950
169,5,12,1900
170,4,11,1771
171,7,16,2010
172,6,12,1900
173,6,11,3006
174,5,11,1750
175,7,11,2320
176,2,16,2051
177,4,11,2400
178,7,19,1750
179,5,19,1750
180,2,16,1975
181,5,16,2168
182,2,16,2045
183,4,16,1955
184,4,16,1955
185,3,11,2221
186,7,16,1960
187,5,11,7500
188,4,12,1850
189,6,16,2050
190,5,11,1782
191,3,16,1928
192,7,19,1610
