,Day,State id,Modal Price
0,6,11,1780
1,5,11,1712
2,4,11,1636
3,7,11,1710
4,6,11,1786
5,7,11,1862
6,4,11,1783
7,5,11,1831
8,2,11,1750
9,7,16,1951
10,5,19,1807
11,6,11,2319
12,6,11,1745
13,7,11,1850
14,5,11,1787
15,5,16,1900
16,4,11,1842
17,7,11,1875
18,6,16,1881
19,4,11,2000
20,6,11,1815
21,6,11,1890
22,4,19,1740
23,7,11,1804
24,6,11,1798
25,3,11,1800
26,3,11,1775
27,4,11,1876
28,6,11,1715
29,6,11,1886
30,6,11,1650
31,4,11,1695
32,3,11,1725
33,5,11,1919
34,4,16,1941
35,5,11,1852
36,5,11,2181
37,5,11,1590
38,7,11,1725
39,3,11,2000
40,6,11,1747
41,7,19,1816
42,5,11,1770
43,3,11,2050
44,4,11,1868
45,2,19,1794
46,6,11,1790
47,6,11,1880
48,4,11,1861
49,3,19,1695
50,3,11,1859
51,4,11,1801
52,5,11,1791
53,3,11,1660
54,5,11,1785
55,6,11,1742
56,7,11,1750
57,6,11,1825
58,3,11,1832
59,5,11,1831
60,7,16,1845
61,2,11,1775
62,7,11,1801
63,3,16,1900
64,7,11,1729
65,5,11,1715
66,4,11,1710
67,6,16,2019
68,5,11,1760
69,6,16,1900
70,2,11,1840
71,5,11,1803
72,5,11,1894
73,2,16,1918
74,7,11,1780
75,5,11,1847
76,6,11,1920
77,6,11,1800
78,4,11,1705
79,5,16,1880
80,6,11,1795
81,4,11,1740
82,6,12,1810
83,6,11,1750
84,5,11,1861
85,4,11,1687
86,4,12,1786
87,6,11,1943
88,2,11,2100
89,3,12,1772
90,2,11,1815
91,6,11,1605
92,6,11,1854
93,5,19,1800
94,6,11,1731
95,2,11,1971
96,2,11,1700
97,6,11,1776
98,7,11,1801
99,4,11,1775
100,5,11,2275
101,4,11,1761
102,6,11,1802
103,6,11,1821
104,6,19,1800
105,6,19,1853
106,4,11,1720
107,5,16,1900
108,2,11,1801
109,5,11,1720
110,4,11,1785
111,2,16,1885
112,6,16,1877
113,3,11,1751
114,4,11,1820
115,2,11,1671
116,1,11,1615
117,7,12,1800
118,6,19,1750
119,7,16,1623
120,3,11,1700
121,3,19,1700
122,6,19,1710
123,4,16,1852
124,4,16,1840
125,3,11,1785
126,4,16,1800
127,6,16,1870
128,3,11,1700
129,5,11,1710
130,5,12,1587
131,5,11,1672
132,6,16,1945
133,4,16,1892
134,5,11,1750
135,6,12,1830
136,6,16,1940
137,4,11,2011
138,7,16,1840
139,6,16,1700
140,4,11,1838
141,3,16,1848
142,5,12,1750
143,7,12,1850
